category	tot_cat_count	tot_cat_unique_count
"Attributes"	9056	1230
"EconomicOperands"	107299	16836
"FunctionWords"	111403	1761
"LegalReferences"	20701	4316
"LogicalConnectors"	32040	1115
"Other"	7891	695
"RegulatoryOperators"	9439	772
