name_entity
"ALLY FINANCIAL INC."
"AMERICAN EXPRESS COMPANY"
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
"BANCO SANTANDER, S.A."
"BANK OF AMERICA CORPORATION"
"BANK OF CHINA LIMITED"
"BANK OF MONTREAL"
"BANK OF NOVA SCOTIA"
"BARCLAYS BANK PLC"
"BB_T CORPORATION"
"BNP PARIBAS USA, INC."
"BPCE"
"CAPITAL ONE FINANCIAL CORPORATION"
"CITIGROUP"
"COMERICA INCORPORATED"
"COOPERATIEVE RABOBANK U.A."
"CREDIT AGRICOLE S.A."
"CREDIT SUISSE GROUP, A.G."
"DEUTSCHE BANK AG"
"DISCOVER FINANCIAL SERVICES"
"FIFTH THIRD BANCORP"
"HSBC HOLDINGS PLC"
"HUNTINGTON BANCSHARES INCORPORATED"
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA"
"JPMORGAN CHASE _ CO"
"KEYCORP"
"MITSUBISHI UFJ FINANCIAL GROUP"
"MIZUHO FINANCIAL GROUP"
"MORGAN STANLEY"
"M_T BANK CORPORATION"
"NORTHERN TRUST CORPORATION"
"REGIONS FINANCIAL CORPORATION"
"ROYAL BANK OF CANADA"
"SOCIETE GENERATE"
"STANDARD CHARTERED PLC"
"STATE STREET CORPORATION"
"SUMITOMO MITSUI FINANCIAL GROUP"
"SUNTRUST BANKS, INC"
"THE BANK OF NEW YORK MELLON CORPORATION"
"THE GOLDMAN SACHS GROUP, INC"
"THE NORINCHUKIN BANK"
"TORONTODOMINION BANK"
"U.S. BANCORP"
"UBS GROUP AG"
"WELLS FARGO _ COMPANY"
"ZIONS BANCORPORATION"
"BANK OF NEW YORK MELLON CORPORATION"
"CIT GROUP INC."
"CITIZENS FINANCIAL GROUP"
"CITIGROUP INC."
"JPMORGAN CHASE _ CO."
"THE GOLDMAN SACHS GROUP"
"BARCLAYS"
"CREDIT SUISSE"
"DEUTSCHE BANK"
"UBS"
" AMERICAN EXPRESS COMPANY"
"ALLY FINANCIAL INC_"
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A_"
"BANCO SANTANDER, S.A_"
"BNP PARIBAS"
"CITIGROUP INC_"
"Huntington Bancshares Incorporated"
"JPMORGAN CHASE _ CO_"
"LLOYDS BANKING GROUP PLC"
"SUNTRUST BANKS, INC_"
"THE GOLDMAN SACHS GROUP, INC_"
"THE PNC FINANCIAL SERVICES GROUP, INC_"
"THE TORONTODOMINION BANK"
"BARCLAYS PLC"
"CREDIT SUISSE GROUP AG"
"DEUTSCHE BANK AKTIENGESELLSCHAFT"
"TEMPLATE LETTER TO FOREIGN BANKING ORGANIZATIONS WITH RESOLUTION PLANS DUE ON OR BEFORE JULY 1, 2022"
