conm
"AMERICAN EXPRESS CO"
"BANK OF NEW YORK MELLON CORP"
"JPMORGAN CHASE & CO"
"COMERICA INC"
"CITIGROUP INC"
"FIFTH THIRD BANCORP"
"REGIONS FINANCIAL CORP"
"M & T BANK CORP"
"US BANCORP"
"ALLY FINANCIAL INC"
"HUNTINGTON BANCSHARES"
"BANK OF AMERICA CORP"
"NORTHERN TRUST CORP"
"WELLS FARGO & CO"
"PNC FINANCIAL SVCS GROUP INC"
"KEYCORP"
"STATE STREET CORP"
"SUNTRUST BANKS INC"
"ZIONS BANCORPORATION NA"
"TRUIST FINANCIAL CORP"
"MORGAN STANLEY"
"CITIZENS FINANCIAL GROUP INC"
"CAPITAL ONE FINANCIAL CORP"
"GOLDMAN SACHS GROUP INC"
"DISCOVER FINANCIAL SVCS"
