category;category_count;category_unique_count
"Attributes";654;85
"EconomicOperands";15933;1919
"FunctionWords";15841;195
"LegalReferences";1811;337
"LogicalConnectors";6729;93
"Other";1648;82
"RegulatoryOperators";1432;102
