category;category_count;category_unique_count
"Attributes";335;62
"EconomicOperands";9436;1275
"FunctionWords";11475;159
"LegalReferences";773;164
"LogicalConnectors";3538;74
"Other";419;53
"RegulatoryOperators";840;76
