category;category_count;category_unique_count
"Attributes";877;91
"EconomicOperands";19516;2007
"FunctionWords";19708;176
"LegalReferences";1816;323
"LogicalConnectors";6856;95
"Other";1917;85
"RegulatoryOperators";1960;89
