category;category_count;category_unique_count
"Attributes";166;41
"EconomicOperands";3976;719
"FunctionWords";5165;117
"LegalReferences";867;245
"LogicalConnectors";2049;54
"Other";1202;62
"RegulatoryOperators";293;41
