category;category_count;category_unique_count
"Attributes";293;64
"EconomicOperands";6781;1225
"FunctionWords";6814;138
"LegalReferences";549;118
"LogicalConnectors";1987;65
"Other";316;50
"RegulatoryOperators";717;70
