category;category_count;category_unique_count
"Attributes";653;86
"EconomicOperands";18459;1982
"FunctionWords";21355;195
"LegalReferences";2272;397
"LogicalConnectors";6409;91
"Other";1794;93
"RegulatoryOperators";1834;98
