category;category_count;category_unique_count
"Attributes";268;49
"EconomicOperands";4654;904
"FunctionWords";5532;112
"LegalReferences";632;201
"LogicalConnectors";1750;59
"Other";512;58
"RegulatoryOperators";451;66
