category;category_count;category_unique_count
"Attributes";448;68
"EconomicOperands";8983;1393
"FunctionWords";10372;177
"LegalReferences";973;213
"LogicalConnectors";3135;84
"Other";881;83
"RegulatoryOperators";751;74
